epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.056,0.92087,1.95464,1.44967,1.37338,0.26359,0.66634,0.37698,0.18381,0.28674,0.69301,0.41713,0.21598,1.28438,1.53684,1.79907,1.93681,0.000549878,0.000549878,0.000549878
2,61.2246,0.88719,1.33555,0.82093,1.29927,0.38879,0.45429,0.36526,0.12206,0.3927,0.48357,0.39596,0.15771,2.7932,1.89487,6.99997,3.98084,0.0010946,0.0010946,0.0010946
3,86.8322,0.89027,1.31574,0.78004,1.30857,0.40868,0.49753,0.44451,0.14804,0.40696,0.51884,0.4816,0.17331,1.86735,1.26684,4.29554,2.35047,0.00162832,0.00162832,0.00162832
4,113.113,0.85504,1.24621,0.73519,1.27076,0.48293,0.63409,0.55508,0.31147,0.48867,0.63742,0.58511,0.35802,1.32591,1.4356,1.3217,1.77998,0.00161749,0.00161749,0.00161749
5,138.425,0.81406,1.20741,0.69801,1.25051,0.60268,0.79484,0.7426,0.48892,0.62044,0.79837,0.76302,0.52469,1.02824,0.94288,1.35023,1.52711,0.00160099,0.00160099,0.00160099
6,163.77,0.76747,1.14563,0.64014,1.20532,0.73633,0.78197,0.8204,0.52018,0.73968,0.77978,0.82304,0.49719,1.19293,1.72012,0.85667,1.66572,0.00158448,0.00158448,0.00158448
7,188.992,0.75186,1.15285,0.61166,1.19656,0.69062,0.63484,0.73748,0.53606,0.72197,0.6551,0.75284,0.55318,0.77602,0.98378,0.93496,1.13142,0.00156798,0.00156798,0.00156798
8,214.228,0.72037,1.09795,0.56795,1.176,0.64782,0.76162,0.72286,0.50101,0.71178,0.74473,0.74799,0.55645,0.78957,0.7508,0.71385,1.17783,0.00155148,0.00155148,0.00155148
9,239.372,0.69695,1.05568,0.5483,1.16256,0.91397,0.87017,0.92402,0.65031,0.91397,0.87017,0.9211,0.67287,0.79224,0.91216,0.63881,1.14706,0.00153497,0.00153497,0.00153497
10,264.533,0.68268,1.06406,0.5378,1.14618,0.90874,0.93026,0.94718,0.69677,0.90874,0.93026,0.9429,0.69696,0.70181,0.79668,0.54646,1.05689,0.00151847,0.00151847,0.00151847
11,289.643,0.68253,1.06144,0.52024,1.14513,0.88995,0.92292,0.932,0.71897,0.88995,0.92292,0.92875,0.73483,0.6355,0.75498,0.47314,1.00061,0.00150197,0.00150197,0.00150197
12,314.709,0.66959,1.01882,0.49889,1.12658,0.93521,0.95774,0.93615,0.69668,0.93521,0.95774,0.93615,0.72382,0.63547,0.73343,0.46891,0.97043,0.00148546,0.00148546,0.00148546
13,339.741,0.62773,0.98976,0.46993,1.10881,0.96047,0.94828,0.97109,0.72868,0.96047,0.94828,0.96814,0.76677,0.66691,0.69463,0.51429,1.00511,0.00146896,0.00146896,0.00146896
14,364.773,0.63434,1.00473,0.46217,1.11643,0.95082,0.92445,0.96341,0.68268,0.95082,0.92445,0.96357,0.68658,0.73675,0.78139,0.48737,1.04844,0.00145246,0.00145246,0.00145246
15,390.825,0.63492,0.99716,0.46731,1.10637,0.84104,0.93875,0.91871,0.6986,0.84104,0.93875,0.91628,0.73113,0.71268,0.71682,0.56318,1.02632,0.00143595,0.00143595,0.00143595
16,417.684,0.6244,0.98004,0.46069,1.10901,0.90805,0.96108,0.94664,0.72328,0.90805,0.96108,0.94664,0.74981,0.64519,0.69816,0.46222,0.97672,0.00141945,0.00141945,0.00141945
17,442.894,0.62691,0.97397,0.46141,1.10541,0.97508,0.89583,0.95463,0.74699,0.97508,0.89583,0.96089,0.76856,0.60136,0.69709,0.44342,0.92964,0.00140295,0.00140295,0.00140295
18,468.547,0.60583,0.95274,0.43806,1.09566,0.94485,0.91213,0.94202,0.7251,0.94485,0.91213,0.94202,0.72145,0.71625,0.77085,0.51734,1.05208,0.00138644,0.00138644,0.00138644
19,493.945,0.59533,0.93432,0.43082,1.09071,0.86651,0.95187,0.94235,0.71014,0.86651,0.95187,0.94235,0.73965,0.60442,0.6806,0.44783,0.92044,0.00136994,0.00136994,0.00136994
20,519.204,0.58699,0.91433,0.40862,1.08061,0.95588,0.93051,0.96807,0.76058,0.95588,0.93051,0.96807,0.78517,0.57529,0.69017,0.41777,0.88347,0.00135344,0.00135344,0.00135344
21,544.605,0.586,0.93003,0.42037,1.08465,0.96825,0.94828,0.97861,0.73943,0.96825,0.94828,0.98527,0.74862,0.61984,0.80545,0.39951,0.92941,0.00133693,0.00133693,0.00133693
22,569.833,0.58379,0.90067,0.41961,1.08179,0.94866,0.93565,0.94002,0.76439,0.94866,0.93565,0.94162,0.76356,0.5636,0.70396,0.42535,0.86051,0.00132043,0.00132043,0.00132043
23,594.951,0.57272,0.90738,0.40555,1.06585,0.9764,0.9174,0.95921,0.75198,0.98698,0.93112,0.96621,0.78227,0.61086,0.69076,0.43036,0.9097,0.00130393,0.00130393,0.00130393
24,620.381,0.57168,0.92066,0.40008,1.07078,0.97184,0.96774,0.97928,0.78199,0.97184,0.96774,0.98441,0.79618,0.56952,0.68272,0.34528,0.86501,0.00128742,0.00128742,0.00128742
25,645.923,0.56581,0.91153,0.40198,1.064,0.94192,0.95883,0.98009,0.79623,0.94192,0.95883,0.98009,0.80195,0.55251,0.65727,0.3367,0.83972,0.00127092,0.00127092,0.00127092
26,671.121,0.56907,0.89674,0.39944,1.07044,0.91583,0.95774,0.92657,0.73505,0.91583,0.95774,0.91988,0.74906,0.57451,0.69912,0.42489,0.88585,0.00125442,0.00125442,0.00125442
27,696.227,0.56595,0.90067,0.39936,1.06027,0.93284,0.96185,0.96239,0.75166,0.93284,0.96185,0.96239,0.77509,0.56547,0.65582,0.43563,0.8864,0.00123791,0.00123791,0.00123791
28,721.6,0.5594,0.89742,0.39367,1.06366,0.89441,0.94811,0.96262,0.75599,0.89461,0.94593,0.96482,0.78657,0.59257,0.65308,0.42847,0.93214,0.00122141,0.00122141,0.00122141
29,746.55,0.55594,0.86698,0.38907,1.05534,0.94616,0.96441,0.95533,0.79609,0.94616,0.96441,0.95533,0.79135,0.54961,0.66134,0.38604,0.85706,0.00120491,0.00120491,0.00120491
30,771.47,0.55802,0.88786,0.39033,1.06526,0.97265,0.96774,0.96806,0.77759,0.97265,0.96774,0.96806,0.79661,0.54014,0.68477,0.34222,0.83902,0.0011884,0.0011884,0.0011884
31,796.544,0.5547,0.88849,0.3814,1.05685,0.94225,0.96292,0.94431,0.77582,0.94225,0.96292,0.94703,0.79192,0.54713,0.63421,0.39368,0.85513,0.0011719,0.0011719,0.0011719
32,821.791,0.53992,0.85199,0.36398,1.04367,0.92392,0.94338,0.94203,0.77819,0.92392,0.94338,0.94761,0.77965,0.52373,0.68082,0.37003,0.82593,0.0011554,0.0011554,0.0011554
33,846.975,0.52591,0.84184,0.35939,1.0417,0.93451,0.96073,0.94387,0.76039,0.93451,0.96073,0.94387,0.79054,0.56587,0.62781,0.3872,0.86379,0.00113889,0.00113889,0.00113889
34,872.096,0.54049,0.8558,0.37447,1.05172,0.99216,0.96774,0.98718,0.80865,0.99216,0.96774,0.9912,0.8259,0.54536,0.6733,0.36329,0.8508,0.00112239,0.00112239,0.00112239
35,897.375,0.53042,0.8596,0.3653,1.03879,0.95882,0.96774,0.98599,0.80929,0.95882,0.96774,0.98599,0.82247,0.51995,0.62534,0.33675,0.83165,0.00110589,0.00110589,0.00110589
36,922.344,0.54009,0.86766,0.3585,1.04384,0.92047,0.96441,0.96169,0.78456,0.92047,0.96441,0.96169,0.8025,0.55473,0.61868,0.38907,0.85133,0.00108938,0.00108938,0.00108938
37,947.373,0.52515,0.85416,0.35366,1.03983,0.94937,0.96774,0.97265,0.79848,0.94937,0.96774,0.97756,0.80088,0.49593,0.61848,0.30669,0.79503,0.00107288,0.00107288,0.00107288
38,972.259,0.51885,0.83602,0.34796,1.03555,0.98065,0.96774,0.9829,0.82771,0.98065,0.96774,0.9829,0.83057,0.51189,0.61807,0.30997,0.83244,0.00105638,0.00105638,0.00105638
39,997.236,0.52464,0.84273,0.34662,1.03811,0.94487,0.95914,0.96638,0.80186,0.94487,0.95914,0.96638,0.79135,0.55607,0.6381,0.34201,0.85898,0.00103987,0.00103987,0.00103987
40,1022.43,0.51654,0.82684,0.35364,1.02904,0.98009,0.96658,0.98571,0.81779,0.98009,0.96658,0.98571,0.83099,0.5181,0.59859,0.30968,0.82641,0.00102337,0.00102337,0.00102337
41,1047.57,0.51781,0.81935,0.34622,1.03331,0.95857,0.96382,0.9896,0.82196,0.95857,0.96382,0.9908,0.83221,0.52452,0.63293,0.31681,0.83423,0.00100687,0.00100687,0.00100687
42,1072.87,0.51375,0.84295,0.34085,1.03284,0.94599,0.96047,0.98048,0.80876,0.94266,0.95714,0.97993,0.79747,0.48534,0.61875,0.32865,0.79218,0.000990365,0.000990365,0.000990365
43,1098.07,0.51008,0.82709,0.33308,1.02483,0.98209,0.94997,0.97782,0.80071,0.98209,0.94997,0.97194,0.7933,0.51257,0.63087,0.30453,0.81784,0.000973861,0.000973861,0.000973861
44,1123.14,0.50995,0.8026,0.33539,1.02844,0.94764,0.96234,0.97734,0.81957,0.94764,0.96234,0.97734,0.81438,0.52,0.59856,0.32691,0.81553,0.000957358,0.000957358,0.000957358
45,1148.3,0.48938,0.78638,0.31791,1.01888,0.98145,0.96762,0.98809,0.83297,0.98218,0.98228,0.98909,0.82557,0.47789,0.61322,0.28757,0.77139,0.000940855,0.000940855,0.000940855
46,1173.48,0.51376,0.80394,0.3365,1.02246,0.97925,0.96441,0.98882,0.80316,0.97833,0.97897,0.99151,0.82228,0.53563,0.60382,0.34801,0.86137,0.000924352,0.000924352,0.000924352
47,1198.58,0.50388,0.80304,0.33077,1.02303,0.97364,0.96774,0.98063,0.81718,0.97364,0.96774,0.98063,0.83022,0.50997,0.60462,0.3401,0.81132,0.000907848,0.000907848,0.000907848
48,1223.63,0.48886,0.78051,0.32415,1.01239,0.98691,0.96736,0.98986,0.82166,0.98691,0.96736,0.98986,0.82982,0.47106,0.62486,0.31381,0.76545,0.000891345,0.000891345,0.000891345
