epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1044.78,0.51965,0.90149,0.33106,1.0871,0.99942,1,0.995,0.89073,0.99942,1,0.995,0.87152,0.48404,0.7731,0.31913,0.97024,0.001406,0.001406,0.001406
32,1091.22,0.5102,0.85412,0.32251,1.07785,0.99962,1,0.995,0.90652,0.99962,1,0.995,0.87666,0.48376,0.74635,0.28441,0.99754,0.0013862,0.0013862,0.0013862
33,1137.48,0.51893,0.87042,0.32964,1.08837,1,0.99908,0.995,0.91361,1,0.99908,0.995,0.89213,0.49833,0.71942,0.27581,0.98704,0.0013664,0.0013664,0.0013664
34,1182.86,0.48391,0.83592,0.3057,1.0682,1,0.99921,0.995,0.90806,1,0.99921,0.995,0.87917,0.47495,0.75241,0.28324,0.98497,0.0013466,0.0013466,0.0013466
35,1227.95,0.4955,0.86194,0.30556,1.07026,0.99947,1,0.995,0.90902,0.99947,1,0.995,0.88737,0.45116,0.71696,0.27995,0.9611,0.0013268,0.0013268,0.0013268
36,1273.6,0.49459,0.86425,0.31396,1.06895,0.99966,1,0.995,0.90708,0.99966,1,0.995,0.89521,0.4672,0.69535,0.28025,0.96578,0.001307,0.001307,0.001307
37,1318.75,0.4737,0.81807,0.30731,1.0543,0.99897,1,0.995,0.90818,0.99897,1,0.995,0.88006,0.46826,0.73828,0.28018,0.9702,0.0012872,0.0012872,0.0012872
38,1365.15,0.47956,0.80695,0.30341,1.05992,0.99845,1,0.995,0.91447,0.99845,1,0.995,0.89159,0.4569,0.77189,0.28074,0.95077,0.0012674,0.0012674,0.0012674
39,1411.12,0.48283,0.82385,0.30276,1.06746,0.99956,1,0.995,0.91163,0.99956,1,0.995,0.88893,0.44882,0.712,0.25112,0.94069,0.0012476,0.0012476,0.0012476
40,1456.6,0.46856,0.81011,0.29665,1.052,0.99929,1,0.995,0.91405,0.99929,1,0.995,0.88573,0.43429,0.74571,0.27382,0.92165,0.0012278,0.0012278,0.0012278
41,1501.81,0.47019,0.80592,0.29503,1.05651,0.99889,0.99479,0.995,0.91461,0.99889,0.99479,0.995,0.882,0.46268,0.73409,0.33791,0.98219,0.001208,0.001208,0.001208
42,1548.49,0.46792,0.79297,0.30457,1.05271,0.99923,1,0.995,0.91828,0.99923,1,0.995,0.89206,0.44278,0.73714,0.26548,0.94052,0.0011882,0.0011882,0.0011882
43,1593.98,0.45231,0.79409,0.29348,1.04811,0.99936,1,0.995,0.91112,0.99936,1,0.995,0.8977,0.45972,0.6952,0.28936,0.9443,0.0011684,0.0011684,0.0011684
