TurnValue,ThrottleValue
1507,1033
1507,1033
1507,1299
1507,1299
1507,1299
1507,1299
1507,1299
1507,1236
1507,1236
1507,1236
1507,1236
1507,1236
1507,1230
1507,1230
1507,1230
1507,1230
1507,1230
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1506,1228
1506,1228
1506,1228
1506,1228
1506,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1229
1507,1229
1507,1229
1507,1229
1506,1229
1506,1228
1506,1228
1506,1228
1506,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1506,1228
1506,1228
1506,1228
1506,1228
1506,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1228
1507,1229
1507,1229
1507,1229
1507,1229
1507,1229
1507,1228
1507,1228
1507,1228
1507,1228
1506,1228
1506,1228
1506,1228
1506,1228
1506,1228
1507,1228
1507,1229
1507,1229
1507,1229
1507,1229
1507,1229
1507,1229
1507,1229
1507,1229
1507,1229
1506,1229
1506,1229
1506,1229
1506,1229
1506,1229
1500,1229
1500,1228
1500,1228
1500,1228
1500,1228
1505,1228
1505,1228
1505,1228
1505,1228
1505,1228
1505,1228
1505,1228
1505,1228
1505,1228
1505,1228
1507,1228
1507,1229
1507,1229
1507,1229
1507,1229
1507,1229
1507,1228
1507,1228
1507,1228
1507,1228
1506,1228
1506,1228
1506,1228
1506,1228
1506,1228
1507,1228
1507,1223
1507,1223
1507,1223
1507,1223
1507,1223
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1512,1482
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1238
1505,1238
1505,1238
1505,1238
1505,1238
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1238
1505,1238
1505,1238
1505,1238
1505,1238
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1505,1237
1519,1897
1519,1897
1519,1897
1519,1897
1519,1897
1519,1897
1519,1897
1519,1897
1519,1897
1519,1897
1519,1897
1519,1897
1519,1897
1519,1897
1519,1897
1519,1897
1519,1897
