Timestamp,TurnValue,ThrottleValue,SafetyValue,ModeValue,ForwardValue,StatusValue
2024-11-17 08:07:34,1504,0,0,0,0,0
2024-11-17 08:07:34,1504,990,0,0,0,0
2024-11-17 08:07:34,1504,990,1000,0,0,0
2024-11-17 08:07:34,1504,990,1000,0,1000,0
2024-11-17 08:07:34,1504,990,1000,0,1000,1000
2024-11-17 08:07:34,1505,990,1000,0,1000,1000
2024-11-17 08:07:34,1505,990,1000,0,1000,1000
2024-11-17 08:07:34,1505,990,1000,0,1000,1000
2024-11-17 08:07:34,1505,990,1000,0,1000,1000
2024-11-17 08:07:34,1505,990,1000,0,1000,1000
2024-11-17 08:07:35,1505,990,1000,0,1000,1000
2024-11-17 08:07:35,1505,990,1000,0,1000,1000
2024-11-17 08:07:35,1505,990,1000,0,1000,1000
2024-11-17 08:07:35,1505,990,1000,0,1000,1000
2024-11-17 08:07:35,1505,990,1000,0,1000,1000
2024-11-17 08:07:35,1505,990,1000,0,1000,1000
2024-11-17 08:07:35,1505,990,1000,0,1000,1000
2024-11-17 08:07:35,1505,990,1000,0,1000,1000
2024-11-17 08:07:35,1505,990,1000,0,1000,1000
2024-11-17 08:07:35,1505,990,1000,0,1000,1000
2024-11-17 08:07:36,1505,990,1000,0,1000,1000
2024-11-17 08:07:36,1505,990,1000,0,1000,1000
2024-11-17 08:07:36,1505,990,1000,0,1000,1000
2024-11-17 08:07:36,1505,990,1000,0,1000,1000
2024-11-17 08:07:36,1505,990,1000,0,1000,1000
2024-11-17 08:07:36,1505,990,1000,0,1000,1000
2024-11-17 08:07:36,1505,990,1000,0,1000,1000
2024-11-17 08:07:36,1505,990,1000,0,1000,1000
2024-11-17 08:07:36,1505,990,1000,0,1000,1000
2024-11-17 08:07:36,1505,990,1000,0,1000,1000
2024-11-17 08:07:37,1504,990,1000,0,1000,1000
2024-11-17 08:07:37,1504,990,1000,0,1000,1000
2024-11-17 08:07:37,1504,990,1000,0,1000,1000
2024-11-17 08:07:37,1504,990,1000,0,1000,1000
2024-11-17 08:07:37,1504,990,1000,0,1000,1000
2024-11-17 08:07:37,1504,990,1000,0,1000,1000
2024-11-17 08:07:38,1504,990,1000,0,1000,1000
2024-11-17 08:07:38,1504,990,1000,0,1000,1000
2024-11-17 08:07:38,1504,990,1000,0,1000,1000
