epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2926,0.92087,1.95464,1.44967,1.37338,0.26359,0.66634,0.37698,0.18381,0.28674,0.69301,0.41713,0.21598,1.28438,1.53684,1.79907,1.93681,0.000549878,0.000549878,0.000549878
2,55.5173,0.8874,1.33852,0.84107,1.30517,0.46186,0.69822,0.60184,0.30371,0.47348,0.72753,0.60445,0.32453,1.56638,1.65938,2.46696,2.32602,0.0011019,0.0011019,0.0011019
3,82.1376,0.90336,1.32796,0.80439,1.31603,0.48059,0.57429,0.47944,0.18645,0.52964,0.5914,0.54897,0.25126,1.85508,1.32757,2.91153,2.59914,0.00165025,0.00165025,0.00165025
4,108.938,0.8553,1.28376,0.73763,1.27424,0.49799,0.68595,0.70888,0.41865,0.61187,0.7314,0.78841,0.49476,1.11863,1.04317,1.20544,1.63341,0.0016505,0.0016505,0.0016505
5,135.365,0.81352,1.19833,0.6884,1.24945,0.58498,0.79871,0.73927,0.45399,0.5654,0.8443,0.75159,0.48365,1.11893,1.07302,1.2936,1.54877,0.001645,0.001645,0.001645
6,161.768,0.76318,1.15381,0.64536,1.2024,0.901,0.87089,0.9228,0.5805,0.89786,0.86789,0.91292,0.57388,0.96263,1.54788,0.94612,1.43094,0.00163949,0.00163949,0.00163949
7,189.258,0.75547,1.16764,0.61703,1.20376,0.84889,0.77418,0.88838,0.594,0.84889,0.77418,0.88811,0.62349,0.98,1.07638,0.90401,1.31076,0.00163399,0.00163399,0.00163399
8,215.392,0.72149,1.08997,0.58372,1.17593,0.94001,0.92882,0.96292,0.66793,0.95352,0.92882,0.95919,0.6046,0.73306,1.80511,0.84689,1.09825,0.00162849,0.00162849,0.00162849
9,241.615,0.69948,1.04833,0.55698,1.1626,0.96311,0.93434,0.96602,0.68277,0.96311,0.93434,0.96158,0.72785,0.72949,0.82125,0.54276,1.05011,0.00162299,0.00162299,0.00162299
10,267.815,0.68983,1.07398,0.53877,1.1512,0.91818,0.87043,0.93839,0.66051,0.91818,0.87043,0.93873,0.70002,0.75524,0.92814,0.57517,1.08519,0.00161749,0.00161749,0.00161749
11,293.776,0.66722,1.05998,0.50919,1.13569,0.90799,0.9426,0.94251,0.71948,0.90799,0.9426,0.94067,0.69654,0.65491,0.91563,0.47879,0.99873,0.00161199,0.00161199,0.00161199
12,319.817,0.66712,1.03657,0.5063,1.13293,0.91223,0.83253,0.92134,0.64835,0.91223,0.83253,0.92244,0.66831,0.79135,0.90995,0.59961,1.12769,0.00160649,0.00160649,0.00160649
13,345.9,0.6551,1.03152,0.49034,1.12994,0.95374,0.88043,0.92869,0.67814,0.95374,0.88043,0.92933,0.71662,0.69467,0.74653,0.53033,1.02625,0.00160099,0.00160099,0.00160099
14,372.416,0.65853,1.03861,0.47561,1.12808,0.94945,0.83366,0.90223,0.62971,0.95208,0.83743,0.8949,0.61619,0.79607,1.06282,0.55803,1.15911,0.00159549,0.00159549,0.00159549
15,398.819,0.65636,1.02797,0.48916,1.12582,0.92357,0.89269,0.95968,0.74241,0.92357,0.89269,0.95813,0.75463,0.5904,0.73211,0.4815,0.90306,0.00158998,0.00158998,0.00158998
16,424.646,0.63937,1.0077,0.48178,1.11852,0.94302,0.90377,0.94129,0.73581,0.92989,0.94161,0.9506,0.76155,0.61312,0.73935,0.42076,0.9386,0.00158448,0.00158448,0.00158448
17,450.691,0.63406,0.97571,0.45986,1.10637,0.987,0.88303,0.92451,0.69961,0.987,0.88303,0.92451,0.72507,0.5944,0.71256,0.49989,0.91767,0.00157898,0.00157898,0.00157898
18,476.781,0.61607,0.9701,0.43952,1.10091,0.93632,0.95309,0.95041,0.70204,0.93632,0.95309,0.95182,0.72349,0.62456,0.75777,0.46883,0.9753,0.00157348,0.00157348,0.00157348
19,502.803,0.61219,0.96517,0.45897,1.10456,0.96553,0.94799,0.97652,0.73687,0.96553,0.94799,0.96633,0.76496,0.66562,0.69382,0.48839,0.98839,0.00156798,0.00156798,0.00156798
20,528.949,0.61284,0.93757,0.42953,1.09364,0.943,0.81925,0.93444,0.71697,0.943,0.81925,0.93048,0.73386,0.6454,0.76618,0.42655,0.97309,0.00156248,0.00156248,0.00156248
21,555.043,0.60124,0.9482,0.4384,1.09056,0.9578,0.96884,0.98839,0.75211,0.9578,0.96884,0.98913,0.78378,0.6192,0.67613,0.40136,0.94312,0.00155698,0.00155698,0.00155698
22,581.093,0.60403,0.92064,0.42788,1.09346,0.96163,0.94447,0.95478,0.75587,0.96163,0.94447,0.95048,0.76299,0.6075,0.74911,0.40996,0.98229,0.00155148,0.00155148,0.00155148
