epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5676,0.86153,1.972,1.7789,1.32028,0.94572,0.44,0.51787,0.35951,0.95476,0.45,0.53021,0.37579,0.98166,1.4181,1.79284,1.48476,0.000549878,0.000549878,0.000549878
2,42.7171,0.75166,1.12649,0.88232,1.19064,0.95196,0.46667,0.56831,0.37089,0.9587,0.47333,0.57916,0.41015,1.02228,1.44817,1.29373,1.48308,0.0011019,0.0011019,0.0011019
3,62.3104,0.74334,1.07319,0.75485,1.19295,0.74223,0.38667,0.3048,0.10002,0.77066,0.38333,0.32514,0.12162,2.0477,2.01124,2.33241,2.73448,0.00165025,0.00165025,0.00165025
4,81.7594,0.74237,1.04377,0.67617,1.18025,0.91342,0.35016,0.42289,0.2294,0.90959,0.34735,0.41893,0.25365,1.59016,2.0164,1.62326,2.16447,0.0016505,0.0016505,0.0016505
5,100.658,0.6811,0.98307,0.56984,1.13823,0.72805,0.23667,0.19998,0.06999,0.74733,0.25667,0.24067,0.10069,2.49776,2.25471,2.20542,2.906,0.001645,0.001645,0.001645
6,119.491,0.67928,0.98322,0.54048,1.13779,0.94504,0.46,0.51913,0.36565,0.95149,0.46667,0.52757,0.39371,1.01567,1.06182,1.11794,1.40797,0.00163949,0.00163949,0.00163949
7,138.493,0.65061,0.96235,0.4987,1.12114,0.88138,0.47946,0.54466,0.37239,0.88448,0.4828,0.5295,0.3604,1.06281,1.5516,1.0043,1.57643,0.00163399,0.00163399,0.00163399
