epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6492,0.88014,2.0268,1.92199,1.34837,0.80623,0.47667,0.63686,0.41002,0.80771,0.44272,0.64193,0.42988,0.93362,1.985,1.65142,1.37598,0.000549878,0.000549878,0.000549878
2,42.8667,0.83436,1.30167,1.05061,1.26626,0.41731,0.37634,0.30942,0.10649,0.44173,0.38581,0.35361,0.14305,2.39301,2.36573,2.61923,2.91446,0.0011019,0.0011019,0.0011019
3,62.7062,0.84043,1.27249,0.92741,1.26494,0.79673,0.5629,0.71375,0.35351,0.85398,0.58237,0.76167,0.42189,1.40963,1.16058,1.32958,2.06319,0.00165025,0.00165025,0.00165025
4,82.3011,0.82619,1.23396,0.81305,1.25308,0.66672,0.7386,0.74944,0.51943,0.66672,0.7386,0.75389,0.55025,0.87616,1.37713,0.90939,1.27361,0.0016505,0.0016505,0.0016505
5,101.929,0.77104,1.16369,0.716,1.21775,0.75559,0.76502,0.73755,0.52785,0.76001,0.76151,0.73632,0.57148,0.88776,0.86892,0.84644,1.30204,0.001645,0.001645,0.001645
6,121.341,0.74859,1.13052,0.66293,1.18611,0.55165,0.49892,0.55733,0.41757,0.554,0.50226,0.56141,0.4137,0.86284,1.17467,1.09939,1.24413,0.00163949,0.00163949,0.00163949
7,140.878,0.73361,1.12606,0.61708,1.18017,0.83585,0.79817,0.90535,0.58617,0.85394,0.8157,0.90895,0.58915,0.81558,1.32933,0.72807,1.18851,0.00163399,0.00163399,0.00163399
8,160.402,0.71429,1.08529,0.60152,1.16647,0.73956,0.67353,0.72275,0.4807,0.75284,0.69634,0.73069,0.51865,0.97969,0.87695,0.85688,1.39713,0.00162849,0.00162849,0.00162849
9,180.035,0.67842,1.05406,0.56346,1.14964,0.85597,0.78246,0.8042,0.55188,0.88001,0.79842,0.84073,0.60698,0.8184,0.93053,0.65773,1.16034,0.00162299,0.00162299,0.00162299
10,199.648,0.6959,1.08016,0.55723,1.14946,0.97271,0.93215,0.96307,0.73095,0.97271,0.93215,0.96076,0.76585,0.62373,0.69784,0.53476,0.93665,0.00161749,0.00161749,0.00161749
11,219.298,0.67593,1.04778,0.52632,1.13334,0.76534,0.90283,0.82896,0.61844,0.76534,0.90283,0.82931,0.63993,0.72797,0.79055,0.65464,1.06545,0.00161199,0.00161199,0.00161199
12,239.074,0.66208,1.03634,0.51078,1.1212,0.74138,0.91234,0.88585,0.60227,0.74138,0.91234,0.8853,0.63593,0.76294,0.81373,0.80383,1.05482,0.00160649,0.00160649,0.00160649
13,258.531,0.63375,1.01521,0.49631,1.11556,0.94345,0.96108,0.96249,0.70603,0.94345,0.96108,0.95711,0.73358,0.72137,0.67565,0.54204,1.05954,0.00160099,0.00160099,0.00160099
14,278.087,0.64549,1.01166,0.47925,1.11704,0.97936,0.95161,0.98812,0.75568,0.97936,0.95161,0.98812,0.76596,0.6274,0.71729,0.45723,0.952,0.00159549,0.00159549,0.00159549
15,297.598,0.63378,1.00067,0.48881,1.10576,0.94093,0.9364,0.97537,0.72159,0.94093,0.9364,0.97574,0.72525,0.64315,0.95752,0.4746,0.9566,0.00158998,0.00158998,0.00158998
16,317.319,0.63401,0.99429,0.46621,1.10812,0.95475,0.96441,0.96902,0.72236,0.95475,0.96441,0.96902,0.74047,0.61415,0.72546,0.40869,0.96941,0.00158448,0.00158448,0.00158448
17,336.859,0.63458,1.00026,0.47077,1.11053,0.95065,0.91602,0.95301,0.70955,0.95065,0.91602,0.96216,0.73386,0.63448,0.72963,0.46182,0.97018,0.00157898,0.00157898,0.00157898
18,356.273,0.6189,1.00046,0.45673,1.10028,0.91593,0.91269,0.93066,0.72021,0.92534,0.91269,0.92549,0.73218,0.61921,0.75982,0.45108,0.90785,0.00157348,0.00157348,0.00157348
19,375.807,0.60614,0.95806,0.44701,1.09735,0.97136,0.84131,0.9068,0.63488,0.97136,0.84131,0.9067,0.67536,0.70437,0.94837,0.51692,1.04763,0.00156798,0.00156798,0.00156798
